Ave_close,Ave_open,CostPercentOfTxVol,DATE,Franc_Can_Conversion_rate,Franc_Can_Reciprocal_rate,Franc_EUR_Conversion_rate,Franc_Euro_Reciprocal_rate,Franc_GBP_Conversion_rate,Franc_GBP_Reciprocal_rate,Franc_USD_Conversion_rate,Franc_USD_Reciprocal_rate,should_have_bought
5.905333333,6.14986,4.970184903,1/26/2012,1.0883,0.9189,0.8286,1.2068,0.6938,1.4413,1.0898,0.9176,FALSE
5.416666667,5.923333333,4.918912988,1/27/2012,1.0952,0.9131,0.8291,1.2061,0.696,1.4367,1.0938,0.9143,TRUE
5.33097,5.511906667,10.03527488,1/30/2012,1.0929,0.915,0.8302,1.2045,0.6944,1.4401,1.0894,0.9179,TRUE
5.452493333,5.276666667,9.420125279,1/31/2012,1.0901,0.9173,0.8309,1.2036,0.6885,1.4525,1.0845,0.9221,FALSE
5.37793,5.492986667,4.823793556,2/1/2012,1.0926,0.9152,0.83,1.2048,0.6913,1.4466,1.0958,0.9126,TRUE
5.85187,5.47141,5.856481429,2/2/2012,1.0917,0.916,0.8304,1.2043,0.6914,1.4463,1.0933,0.9146,TRUE
6.093333333,5.88567,6.78649338,2/3/2012,1.0802,0.9258,0.8288,1.2065,0.6884,1.4526,1.0862,0.9207,FALSE
5.56627,5.86284,6.230808445,2/6/2012,1.0833,0.9231,0.8289,1.2064,0.6875,1.4545,1.0883,0.9189,FALSE
5.446816667,5.556333333,6.276804316,2/7/2012,1.0897,0.9177,0.8271,1.209,0.6894,1.4506,1.0954,0.9129,TRUE
5.526666667,5.404663333,6.457300195,2/8/2012,1.0924,0.9154,0.8267,1.2096,0.6926,1.4438,1.0957,0.9127,TRUE
5.627326667,5.605333333,7.796187541,2/9/2012,1.0919,0.9158,0.8261,1.2106,0.6935,1.4419,1.0984,0.9104,TRUE
5.757,5.51066,8.055138238,2/10/2012,1.0914,0.9163,0.8263,1.2102,0.692,1.4451,1.0897,0.9177,FALSE
5.52456,5.671666667,5.383792748,2/13/2012,1.0925,0.9153,0.8273,1.2088,0.6927,1.4437,1.0929,0.915,FALSE
5.41,5.477893333,1.783051787,2/14/2012,1.0876,0.9195,0.8279,1.2079,0.6938,1.4413,1.0886,0.9186,FALSE
4.75064,5.191333333,1.656377071,2/15/2012,1.0805,0.9255,0.8285,1.2069,0.6902,1.4488,1.0843,0.9223,FALSE
4.462033333,4.631733333,2.351160188,2/16/2012,1.0815,0.9246,0.8282,1.2075,0.6874,1.4548,1.0856,0.9211,FALSE
4.294633333,4.3884,3.763674429,2/17/2012,1.086,0.9208,0.8283,1.2073,0.6888,1.4518,1.0893,0.918,TRUE
4.248896667,4.234336667,6.933852622,2/20/2012,1.0889,0.9184,0.8282,1.2075,0.6923,1.4444,1.0972,0.9114,TRUE
4.467183333,4.410333333,6.214523303,2/21/2012,1.0922,0.9156,0.8277,1.2081,0.6946,1.4397,1.0971,0.9115,FALSE
4.342333333,4.349653333,5.369386521,2/22/2012,1.0979,0.9108,0.8286,1.2068,0.7004,1.4278,1.0979,0.9108,TRUE
4.39844,4.330666667,6.705324575,2/23/2012,1.102,0.9074,0.8293,1.2059,0.703,1.4224,1.1037,0.9061,TRUE
4.915,4.421666667,4.330155726,2/24/2012,1.116,0.8961,0.83,1.2048,0.7042,1.4201,1.1173,0.895,TRUE
4.867333333,4.68501,8.609758297,2/27/2012,1.1107,0.9003,0.8297,1.2053,0.7022,1.4241,1.1126,0.8988,FALSE
4.833326667,4.830666667,6.38255597,2/28/2012,1.111,0.9001,0.8295,1.2055,0.7025,1.4236,1.1159,0.8961,FALSE
4.76566,4.866333333,8.875635916,2/29/2012,1.0934,0.9146,0.8297,1.2053,0.6948,1.4392,1.1083,0.9023,FALSE
4.760003333,4.78266,4.902845196,3/1/2012,1.0878,0.9193,0.8292,1.2059,0.6924,1.4443,1.1045,0.9054,TRUE
4.805766667,4.759666667,2.850799156,3/2/2012,1.0825,0.9238,0.8292,1.2059,0.6907,1.4479,1.0948,0.9134,TRUE
4.692033333,4.554796667,7.454667541,3/5/2012,1.0899,0.9175,0.8293,1.2058,0.6913,1.4466,1.0969,0.9116,TRUE
4.847756667,4.656676667,6.365731793,3/6/2012,1.0901,0.9173,0.8297,1.2053,0.6923,1.4444,1.0885,0.9187,TRUE
4.8617,4.8296,6.761724461,3/7/2012,1.0892,0.9181,0.829,1.2063,0.6923,1.4445,1.09,0.9175,FALSE
4.809173333,4.958033333,8.040597833,3/8/2012,1.0906,0.9169,0.8293,1.2058,0.6949,1.4391,1.0993,0.9097,TRUE
4.85672,4.792506667,7.755051922,3/9/2012,1.0756,0.9297,0.8293,1.2058,0.6935,1.442,1.087,0.92,TRUE
4.803333333,4.744386667,7.762816305,3/12/2012,1.0825,0.9238,0.8292,1.2059,0.6978,1.4331,1.0896,0.9178,FALSE
4.763683333,4.733303333,5.635845998,3/13/2012,1.0768,0.9287,0.8294,1.2057,0.6908,1.4475,1.0871,0.9199,TRUE
5.098,4.763686667,5.814210116,3/14/2012,1.0647,0.9392,0.8245,1.2128,0.6846,1.4607,1.0738,0.9312,TRUE
5.187666667,5.120616667,4.111993698,3/15/2012,1.075,0.9302,0.8285,1.2071,0.691,1.4473,1.0827,0.9236,FALSE
5.168853333,5.188993333,5.155784858,3/16/2012,1.0822,0.924,0.8288,1.2065,0.6889,1.4515,1.0916,0.9161,FALSE
5.149143333,5.220333333,6.852951823,3/19/2012,1.0845,0.9221,0.8289,1.2064,0.6907,1.4479,1.0977,0.911,FALSE
4.7243,5.10243,6.036259916,3/20/2012,1.0888,0.9184,0.8291,1.2062,0.6913,1.4465,1.0961,0.9123,TRUE
4.774966667,4.710386667,5.540594574,3/21/2012,1.0862,0.9206,0.8292,1.2059,0.6902,1.4489,1.0937,0.9143,TRUE
4.788293333,4.76564,6.188810563,3/22/2012,1.0948,0.9134,0.8296,1.2054,0.6924,1.4442,1.0945,0.9137,FALSE
4.711433333,4.744796667,5.095355833,3/23/2012,1.0986,0.9102,0.8298,1.2051,0.6938,1.4413,1.1006,0.9086,FALSE
4.464336667,4.576,6.831829085,3/26/2012,1.0974,0.9112,0.8299,1.2049,0.6939,1.441,1.106,0.9041,TRUE
4.580706667,4.49967,5.425492928,3/27/2012,1.0984,0.9104,0.8296,1.2054,0.6927,1.4436,1.1064,0.9039,TRUE
4.717083333,4.518333333,5.899823253,3/28/2012,1.1014,0.9079,0.8295,1.2056,0.6958,1.4372,1.1032,0.9065,TRUE
4.739333333,4.664666667,4.868413214,3/29/2012,1.1008,0.9084,0.83,1.2049,0.692,1.4451,1.1009,0.9083,FALSE
4.716126667,4.73004,5.410276825,3/30/2012,1.1067,0.9036,0.8307,1.2038,0.693,1.443,1.1077,0.9028,FALSE
4.755666667,4.790006667,5.697880036,4/2/2012,1.0974,0.9112,0.8305,1.204,0.6907,1.4479,1.1066,0.9037,TRUE
4.941333333,4.719023333,4.176639855,4/3/2012,1.0981,0.9107,0.8308,1.2036,0.6941,1.4408,1.1081,0.9025,FALSE
4.917,4.928333333,4.506285629,4/4/2012,1.0864,0.9205,0.8307,1.2038,0.6869,1.4559,1.0905,0.917,FALSE
4.90003,4.889866667,3.550518724,4/5/2012,1.0791,0.9267,0.8319,1.202,0.687,1.4556,1.0869,0.92,TRUE
4.906333333,4.89823,3.416831019,4/6/2012,1.096335838,0.913507514,0.82072948,1.218603854,0.681853757,1.467274566,1.078,0.928243353,TRUE
4.700843333,4.662383333,2.919786927,4/9/2012,1.0862,0.9206,0.8324,1.2013,0.686,1.4577,1.0892,0.9181,TRUE
4.737303333,4.646633333,2.785474485,4/10/2012,1.0906,0.9169,0.8323,1.2015,0.6868,1.456,1.0876,0.9195,TRUE
4.763903333,4.736926667,5.135156525,4/11/2012,1.0953,0.913,0.8327,1.2009,0.6866,1.4565,1.091,0.9166,TRUE
4.8793,4.783803333,2.702529223,4/12/2012,1.0906,0.9169,0.8323,1.2015,0.6877,1.4541,1.0961,0.9123,FALSE
4.853226667,4.855566667,3.246153935,4/13/2012,1.0859,0.9209,0.8318,1.2022,0.6865,1.4567,1.0882,0.919,TRUE
4.94264,4.922566667,4.066585047,4/16/2012,1.0897,0.9177,0.832,1.2019,0.6853,1.4593,1.0871,0.9199,FALSE
4.92567,4.903,3.246525628,4/17/2012,1.0787,0.927,0.8322,1.2016,0.6855,1.4587,1.092,0.9157,TRUE
4.95829,4.92738,3.437959251,4/18/2012,1.0805,0.9255,0.8317,1.2024,0.6812,1.468,1.0912,0.9164,TRUE
5.1326,4.96129,3.9000143,4/19/2012,1.0844,0.9222,0.8319,1.2021,0.6803,1.4699,1.0924,0.9154,FALSE
5.085886667,5.135866667,3.481319016,4/20/2012,1.0896,0.9178,0.8322,1.2016,0.6819,1.4665,1.0994,0.9096,FALSE
5.144506667,5.228326667,6.311837374,4/23/2012,1.0855,0.9212,0.8321,1.2018,0.6785,1.4738,1.0925,0.9153,FALSE
5.011996667,5.15802,3.948239586,4/24/2012,1.086,0.9208,0.8321,1.2018,0.6811,1.4682,1.0989,0.91,TRUE
5.059406667,4.994996667,4.52275984,4/25/2012,1.0824,0.9239,0.8321,1.2018,0.6807,1.4691,1.0991,0.9098,TRUE
5.118606667,5.073326667,3.765200726,4/26/2012,1.0836,0.9228,0.8322,1.2016,0.6802,1.4702,1.1011,0.9082,FALSE
5.025873333,5.093943333,4.317367904,4/27/2012,1.0816,0.9246,0.8326,1.2011,0.6792,1.4724,1.1029,0.9067,FALSE
4.879803333,4.9453,7.401702216,4/30/2012,1.0883,0.9189,0.8324,1.2014,0.6786,1.4737,1.1011,0.9082,TRUE
4.9557,4.8846,5.848313669,5/1/2012,1.0828,0.9235,0.8321,1.2018,0.6784,1.474,1.1005,0.9087,FALSE
4.938333333,4.9357,4.988045962,5/2/2012,1.0828,0.9235,0.8323,1.2015,0.6761,1.479,1.0947,0.9135,TRUE
5.031223333,4.956,4.725613113,5/3/2012,1.0797,0.9262,0.8322,1.2016,0.6761,1.4791,1.0941,0.914,TRUE
5.078126667,5.031196667,5.438378704,5/4/2012,1.085,0.9217,0.8326,1.2011,0.6749,1.4817,1.0898,0.9176,TRUE
5.030303333,5.00313,4.873165763,5/7/2012,1.0794,0.9264,0.8324,1.2013,0.6711,1.4902,1.0865,0.9204,FALSE
